Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,central telecommunications services,"finance, commercial & digital transformation - digital directorate",vodafone ltd,64531,8.26,FCDT Devolved Admin-Central Telecommunications Services,mk3 5jp,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,it services,"people, strategy and higher education - communications directorate",williams lea ltd,70562,4132.66,Digital Media-IT Services,ec1m 4na,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,printing,"people, strategy and higher education - communications directorate",williams lea ltd,70562,1989.49,PSHE Devolved Admin-Printing,ec1m 4na,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,central telecommunications services,"finance, commercial & digital transformation - digital directorate",vodafone ltd,74056,63.72,FCDT Devolved Admin-Central Telecommunications Services,rg14 1la,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,central telecommunications services,"finance, commercial & digital transformation - digital directorate",british telecommunications plc (bt),91088,255.19,FCDT Devolved Admin-Central Telecommunications Services,dh98 1bt,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,central telecommunications services,"finance, commercial & digital transformation - digital directorate",british telecommunications plc (bt),91088,508.23,FCDT Devolved Admin-Central Telecommunications Services,dh98 1bt,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,central telecommunications services,"finance, commercial & digital transformation - digital directorate",british telecommunications plc (bt),91836,73.91,FCDT Devolved Admin-Central Telecommunications Services,dh98 1bt,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,telecoms equipment,"finance, commercial & digital transformation - digital directorate",action on hearing loss ltd,134333,1962.88,FCDT Devolved Admin-Telecoms Equipment,pe2 6xu,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,professional subscriptions,economics & markets - international trade & export control,british embassy,137863,0.78,E&M Devolved Admin-Professional Subscriptions,75383,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,professional subscriptions,economics & markets - international trade & export control,british embassy,137863,20874.06,E&M Devolved Admin-Professional Subscriptions,75383,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,computer consumables,"finance, commercial & digital transformation - digital directorate",action on hearing loss ltd,138378,4.96,FCDT Devolved Admin-Computer Consumables,pe2 6xu,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,telecoms equipment,"finance, commercial & digital transformation - digital directorate",action on hearing loss ltd,138378,453.59,FCDT Devolved Admin-Telecoms Equipment,pe2 6xu,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-06,financial advice and services,business and science - disabled - available for future use,barclays bank plc,143795,43507.69,Management Costs ICR Monetisation-Financial Advice and Services,e14 4bb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,economic consultancy & research,business and science - infrastructure and materials,cru international ltd,144136,19860.0,MRI: Sponsorship-Economic Consultancy & Research,wc2a 1qs,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,furniture,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),144989,24.6,PSHE Non Devolved Admin-Furniture,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,furniture,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),144990,318.19,PSHE Non Devolved Admin-Furniture,mk10 1px,wga only,2016,7
